FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
-21.879194,40.765526,-4.614303,9.36941,235.400848,343.064667
-22.31249,40.635914,-4.989349,9.235369,237.755722,340.069275
-22.737141,40.499699,-5.362997,9.103053,240.095291,337.055573
-23.152966,40.356808,-5.734915,8.972414,242.419006,334.024078
-23.559803,40.207172,-6.104795,8.843396,244.726242,330.975403
-23.957491,40.050762,-6.472364,8.715925,247.016541,327.910095
-24.345869,39.887543,-6.837393,8.589935,249.289444,324.828827
-24.724773,39.717506,-7.199687,8.465371,251.544632,321.732117
-25.094053,39.540642,-7.559079,8.342181,253.781815,318.620575
-25.453579,39.356922,-7.915421,8.220304,256.000824,315.494843
-25.803257,39.166279,-8.268569,8.099689,258.201447,312.35556
-26.14303,38.968662,-8.618392,7.980295,260.383514,309.203339
-26.472879,38.764019,-8.964767,7.862097,262.546967,306.038788
-26.792818,38.552307,-9.307581,7.745064,264.69162,302.862549
-27.102871,38.333519,-9.646739,7.629159,266.817413,299.675171
-27.403078,38.107655,-9.982162,7.514348,268.924316,296.477234
-27.693474,37.874748,-10.313799,7.400604,271.012543,293.269501
-27.974092,37.634815,-10.641621,7.287904,273.082092,290.052521
-28.244982,37.387863,-10.965631,7.176217,275.133301,286.826996
-28.506197,37.133904,-11.285851,7.065511,277.166229,283.593628
-28.757818,36.87289,-11.602306,6.955767,279.181244,280.35318
-28.999949,36.604816,-11.915027,6.846981,281.178497,277.106201
-29.232723,36.329681,-12.224036,6.739151,283.158295,273.853455
-29.456301,36.047508,-12.529361,6.632271,285.120789,270.595612
-29.670853,35.758339,-12.831017,6.52634,287.066376,267.333282
-29.876553,35.46225,-13.129025,6.421367,288.995453,264.06723
-30.073547,35.159294,-13.423405,6.317365,290.908356,260.798187
-30.261982,34.849537,-13.714181,6.214343,292.805542,257.526947
-30.441978,34.53299,-14.001379,6.112298,294.687469,254.254181
-30.613674,34.209694,-14.285025,6.011241,296.554596,250.980743
-30.77722,33.879658,-14.565143,5.911189,298.407257,247.707321
-30.932808,33.542927,-14.841754,5.812162,300.24588,244.434647
-31.08066,33.199551,-15.114878,5.714177,302.070892,241.163452
-31.22102,32.84964,-15.384533,5.617255,303.882782,237.894501
-31.354137,32.493282,-15.65074,5.521439,305.681915,234.62851
-31.480246,32.130619,-15.913507,5.426778,307.468811,231.366257
-31.599548,31.761744,-16.172846,5.333315,309.24411,228.108536
-31.712227,31.386745,-16.428755,5.241073,311.008209,224.85611
-31.818453,31.005701,-16.681231,5.150062,312.761597,221.609802
-31.918409,30.618689,-16.93026,5.060306,314.50473,218.370377
-32.012325,30.225794,-17.175823,4.971829,316.238037,215.138596
-32.100433,29.827135,-17.417896,4.884644,317.961975,211.915176
-32.183014,29.422855,-17.656456,4.798764,319.676941,208.700851
-32.260334,29.013113,-17.891472,4.714214,321.383484,205.496399
-32.332661,28.598089,-18.122923,4.631049,323.082153,202.302597
-32.400204,28.177952,-18.350792,4.549328,324.773438,199.120316
-32.463169,27.752851,-18.575062,4.469101,326.457825,195.950302
-32.521717,27.322916,-18.795719,4.390408,328.135834,192.793442
-32.576038,26.888269,-19.012745,4.313287,329.807922,189.650482
-32.626324,26.449049,-19.226114,4.237775,331.474548,186.522171
-32.672802,26.0054,-19.435802,4.163898,333.1362,183.409241
-32.715729,25.557514,-19.641779,4.091667,334.793335,180.312393
-32.755348,25.105606,-19.844009,4.021099,336.446533,177.232376
-32.791908,24.649902,-20.042454,3.952219,338.096191,174.169952
-32.825592,24.190628,-20.237078,3.885058,339.742889,171.125931
-32.856564,23.727983,-20.427858,3.819648,341.387146,168.101105
-32.884937,23.262146,-20.614773,3.756011,343.029358,165.096207
-32.910847,22.793283,-20.797798,3.694183,344.670044,162.111969
-32.934418,22.321568,-20.976921,3.634196,346.309601,159.149109
