Time(ms),Acceleration(x),Acceleration(y),Acceleration(z),Magnetometer(x),Magnetometer(y),Magnetometer(z),Gyroscope(x),Gyroscope(y),Gyroscope(z),Class
233535,1.54,8.59,-3.0,-4.33,-18.11,-69.29,-2.82,-0.58,-0.46,1
233787,-5.27,14.5,-0.97,3.74,-4.76,-55.77,0.46,-0.12,-0.15,1
234039,-0.87,6.4,-8.57,-1.45,-23.9,-76.66,1.95,0.85,0.93,1
234291,-4.37,6.38,0.67,-8.99,-24.57,-87.31,-0.74,-1.14,0.22,1
234543,1.0,7.68,-1.87,-6.55,-21.78,-74.7,-2.17,-0.21,-0.61,1
234823,-3.68,14.12,1.16,0.38,-9.88,-58.9,0.91,-0.55,-0.37,1
235071,-1.92,6.87,-9.82,-10.36,-24.85,-84.19,2.08,2.44,0.56,1
235317,-5.83,2.43,-0.46,-13.5,-24.79,-102.03,-0.46,-0.42,0.78,1
235563,-0.94,9.28,-2.33,-10.46,-25.52,-91.68,-2.22,-0.54,-0.57,1
235810,-1.49,12.88,-0.6,-4.21,-23.68,-74.6,-0.04,1.41,-1.07,1
236058,-1.44,8.72,-10.31,-8.81,-25.3,-105.96,2.46,2.85,0.61,1
236304,3.33,10.02,15.76,4.12,-22.92,-120.99,2.93,-2.22,0.79,1
236558,0.38,7.36,-1.64,4.19,-27.01,-114.31,-2.01,-0.82,-0.61,1
236806,2.4,12.58,0.92,12.17,-31.2,-90.82,-0.83,-0.07,-0.72,1
237053,-0.78,8.96,-6.62,9.95,-28.14,-114.45,2.29,1.86,1.03,1
237299,4.95,18.3,11.45,21.73,-22.32,-118.31,4.42,1.9,1.37,1
237547,-2.26,10.58,-3.25,21.86,-24.85,-115.29,-1.45,0.08,-0.85,1
237793,-1.84,10.76,-0.04,27.7,-27.58,-92.47,-1.0,0.54,-0.41,1
238041,-0.8,14.94,-10.85,28.6,-27.38,-106.36,2.83,3.32,1.25,1
238301,-2.85,14.12,-0.06,29.26,-23.41,-108.07,-0.63,1.62,-0.15,1
238546,1.67,9.13,-2.85,28.57,-25.37,-105.76,-1.52,-0.67,0.37,1
238794,-0.97,10.11,-1.81,30.81,-22.93,-82.93,-1.25,0.4,0.07,1
239042,-4.94,11.07,-6.71,34.32,-25.1,-90.82,1.41,-2.83,1.2,1
239288,1.99,0.89,-7.53,27.4,-23.57,-110.32,-0.04,0.63,-0.38,1
239536,3.86,8.98,-11.59,29.03,-24.48,-110.29,-0.82,-0.66,0.01,1
239783,-1.28,8.8,-2.86,30.25,-24.25,-89.3,-3.11,-0.06,-0.63,1
240037,2.3,17.54,3.92,37.71,-23.91,-88.92,3.0,-1.63,-0.23,1
240285,1.79,0.7,-6.96,27.46,-23.3,-110.57,0.79,1.84,-0.27,1
240533,17.25,8.17,-10.66,31.23,-25.27,-109.08,-1.41,-1.97,-0.87,1
240779,-0.02,9.11,-3.18,30.06,-24.58,-88.82,-3.42,-0.55,-0.47,1
241027,5.45,11.71,8.38,35.72,-24.23,-85.66,3.95,-1.67,-1.28,1
241272,0.1,3.34,-7.6,27.43,-24.42,-109.12,1.89,2.08,0.13,1
241520,-12.5,19.6,5.74,22.95,-22.54,-111.05,0.97,3.3,0.68,1
241768,0.6,8.99,-2.15,29.38,-26.13,-95.63,-3.22,-0.74,-0.34,1
242022,-3.14,19.6,-1.02,34.05,-22.27,-81.03,1.92,-0.17,0.22,1
242268,-0.79,3.7,-8.13,27.16,-24.9,-112.17,1.82,0.71,0.82,1
242515,-7.3,19.6,-4.97,27.04,-22.29,-111.81,-2.26,0.7,0.93,1
242761,0.73,9.19,-2.08,26.44,-25.81,-99.84,-2.76,-0.43,-0.14,1
243265,0.6,4.78,-6.68,36.32,-26.37,-115.38,2.23,0.14,0.68,1
243603,18.75,3.67,-4.73,36.61,-26.13,-102.29,-1.86,-3.14,-0.99,1
243851,-1.03,8.07,-3.84,28.65,-17.74,-80.87,-3.74,-0.98,-0.35,1
244107,6.57,15.21,3.34,29.42,-19.88,-87.31,3.28,-1.87,-0.72,1
244353,1.59,2.13,-7.27,22.57,-20.94,-114.03,1.55,1.7,0.16,1
244600,14.53,-2.05,2.57,23.08,-22.32,-113.26,0.06,2.72,-1.45,1
244846,1.36,8.58,-1.87,25.62,-25.4,-98.73,-2.98,-1.09,-0.56,1
245094,-4.26,17.17,2.91,32.4,-22.92,-86.73,1.09,-1.04,-0.09,1
245342,1.83,5.14,-6.25,26.54,-24.16,-111.5,1.57,0.27,0.59,1
245587,-2.67,0.86,7.23,31.34,-18.71,-112.25,0.92,0.33,0.81,1
245841,1.58,7.58,-1.56,33.03,-21.69,-97.75,-2.98,-0.35,-0.42,1
246089,-1.56,10.61,-3.2,36.86,-16.47,-79.26,-0.64,-0.43,-0.45,1
246335,-1.15,10.28,-7.74,34.0,-22.64,-94.69,2.68,2.07,0.84,1
246583,15.34,7.63,17.11,33.0,-21.67,-90.13,4.01,0.26,1.09,1
246829,-2.95,9.41,-2.01,29.26,-23.38,-86.58,-1.59,-0.32,-0.75,1
247076,-0.82,12.31,1.22,32.32,-8.49,-66.56,-0.81,0.57,-0.38,1
247324,-2.04,15.54,-10.7,33.27,-18.46,-78.46,3.17,2.81,1.45,1
247578,-6.11,14.92,-3.65,22.79,-19.99,-76.24,-1.03,2.37,-0.08,1
247826,4.42,11.49,-2.44,20.05,-22.95,-76.88,-0.94,0.72,0.03,1
248074,-0.96,9.07,-3.39,23.34,-8.77,-61.81,-2.28,0.7,-0.87,1
248320,1.38,17.54,1.76,25.59,-10.2,-61.82,2.67,-0.37,-0.94,1
248567,2.28,3.08,-7.68,3.7,-23.98,-78.62,1.61,3.53,-0.04,1
248813,-0.79,19.6,-4.88,-3.83,-22.35,-80.49,0.59,0.19,-1.46,1
249061,0.92,8.86,-2.36,-2.73,-17.92,-70.59,-2.45,0.18,-0.34,1
249307,-3.95,13.2,-2.17,-0.18,-7.31,-59.51,0.33,0.31,-0.32,1
249561,-0.0,8.92,-8.05,-8.01,-22.84,-82.52,2.24,1.01,0.85,1
249808,-2.06,8.06,6.87,-14.28,-21.28,-94.01,0.1,-2.46,0.07,1
250054,1.37,7.89,-1.22,-13.29,-18.87,-83.35,-2.36,-0.93,-0.25,1
250302,0.74,10.97,-2.48,-9.47,-9.6,-66.57,-1.1,-0.37,-0.25,1
250550,1.79,10.35,-5.7,-8.77,-20.84,-81.72,2.94,1.49,0.67,1
250796,0.91,19.6,0.74,-13.97,-20.86,-95.76,3.69,2.67,0.43,1
251043,-3.21,9.4,-1.8,-14.85,-21.95,-98.29,-1.37,0.02,-0.52,1
251299,-0.12,9.71,-3.88,-8.61,-20.91,-77.95,-2.27,0.46,-1.0,1
251545,-3.58,15.24,-11.68,-9.63,-26.03,-90.63,2.18,3.14,1.4,1
251793,3.25,2.95,-4.14,-6.31,-21.72,-113.8,-2.86,2.18,-0.98,1
252039,9.14,11.4,-4.89,-1.13,-22.08,-115.71,-0.87,1.42,-0.12,1
252286,0.99,9.65,-3.87,-0.94,-27.24,-93.8,-1.17,0.36,-0.37,1
252534,3.63,16.52,3.41,4.21,-28.76,-99.55,3.33,-1.27,-0.52,1
252780,2.58,1.0,-6.93,-7.47,-15.1,-121.27,0.3,0.81,-0.27,1
253034,12.01,7.05,-6.48,-9.72,-13.5,-123.11,-0.68,1.67,-1.15,1
253284,-1.31,8.7,-2.53,-13.1,-21.78,-97.84,-2.7,-1.35,-0.01,1
253534,1.7,15.45,1.66,-13.26,-21.41,-83.24,0.6,-1.39,0.35,1
253782,-1.63,6.68,-7.93,-21.44,-20.11,-89.08,2.04,-1.13,1.54,1
254027,5.64,18.54,0.54,-20.94,-19.72,-103.48,-0.04,-1.56,-0.25,1
254275,0.77,8.87,-1.28,-20.05,-19.22,-86.48,-3.05,-1.27,-0.16,1
254523,-0.09,12.4,1.64,-12.12,-9.94,-64.06,-0.85,-0.81,-0.36,1
254777,1.51,7.41,-7.97,-12.58,-22.51,-84.36,2.16,-0.28,0.98,1
255025,0.91,12.6,10.64,-17.66,-20.9,-98.67,1.46,-1.8,-1.16,1
255272,1.84,7.39,-0.41,-16.95,-20.91,-88.83,-2.08,-0.34,-0.57,1
255518,4.29,11.79,0.44,-10.52,-10.93,-65.64,-0.78,-0.91,-0.09,1
255766,2.84,7.35,-4.77,-9.34,-21.98,-81.82,2.43,-0.53,1.18,1
256014,6.47,7.21,12.81,-17.86,-20.48,-92.03,3.19,-0.17,2.75,1
256260,-2.38,10.52,-4.34,-18.68,-19.31,-85.76,-1.49,0.58,-0.6,1
256516,-2.32,10.73,-3.38,-12.45,-7.5,-62.88,-1.72,-0.69,0.17,1
256761,2.66,16.34,-8.96,0.12,-18.84,-66.94,3.33,1.05,1.57,1
257009,-3.37,8.22,-1.06,-6.61,-23.44,-79.66,-0.87,0.67,0.16,1
257255,-5.2,9.52,-5.51,-7.92,-23.53,-79.67,-1.82,-1.11,0.2,1
257503,-0.39,10.0,-5.15,-3.04,-8.33,-59.46,-1.45,-0.19,-0.19,1
257751,-3.96,16.12,-14.09,9.27,-15.61,-62.44,0.61,-4.07,1.36,1
257996,3.84,1.23,-5.23,-2.05,-26.69,-84.03,-0.46,1.6,-0.37,1
258244,8.9,5.77,-9.3,-2.56,-27.4,-83.63,-1.44,-2.16,0.19,1
258500,-2.6,9.92,-4.06,1.4,-12.63,-61.63,-2.43,-0.12,-0.3,1
258746,3.33,3.85,14.5,6.91,-14.22,-59.49,4.73,-1.64,-1.23,1
258994,-0.63,2.65,-7.37,-0.98,-25.31,-80.43,1.45,1.73,0.37,1
259239,2.5,12.41,-15.79,-7.38,-24.83,-83.7,-1.09,0.62,-0.71,1
259487,2.1,8.81,-1.45,-6.02,-19.64,-72.22,-2.26,-0.78,-0.13,1
259735,-3.0,13.62,0.98,-1.34,-7.75,-58.58,-0.47,-0.58,-0.35,1
259981,1.9,8.16,-8.31,-5.07,-24.79,-79.61,2.46,0.71,1.1,1
260235,0.88,9.82,2.88,-10.16,-26.15,-95.53,-0.51,-2.53,0.12,1
260483,-0.04,7.66,-1.69,-10.1,-25.9,-86.0,-2.22,-0.46,-0.61,1
260730,-0.52,11.98,0.7,-6.15,-18.2,-69.31,-0.58,0.97,-0.87,1
260976,-0.39,8.88,-8.2,-10.96,-25.69,-99.39,2.59,2.95,0.81,1
261224,1.24,19.6,5.23,-3.89,-23.28,-114.09,1.86,2.56,1.15,1
261470,-3.57,8.83,-8.52,-1.15,-26.59,-108.02,-1.91,1.37,-1.01,1
261718,0.23,9.23,-4.45,4.62,-29.42,-88.51,-0.54,0.36,-0.58,1
261992,-1.1,15.6,-11.08,7.4,-29.89,-109.63,3.14,3.28,1.09,1
262238,3.31,4.9,-3.23,17.14,-23.27,-119.79,-1.55,1.85,-1.02,1
262486,7.07,11.81,-3.94,18.28,-24.47,-121.62,-0.02,1.4,-0.27,1
262731,0.43,8.9,-3.82,19.2,-29.71,-100.58,-2.25,0.03,-0.62,1
262979,-2.31,17.49,2.02,29.26,-29.89,-105.03,3.06,-0.49,-0.32,1
263225,3.43,0.69,-8.07,24.76,-20.65,-119.54,0.07,2.74,-0.51,1
263473,5.68,-5.91,10.95,25.77,-21.94,-118.18,5.0,5.0,-1.3,1
263727,0.84,7.89,-3.19,29.23,-25.84,-100.37,-2.61,-0.38,-0.5,1
263972,-5.24,15.76,-0.75,34.05,-23.87,-85.36,0.65,0.19,-0.24,1
264220,0.31,6.6,-8.16,26.21,-24.83,-113.68,1.97,0.49,1.0,1
264466,-0.77,8.84,-1.54,28.49,-22.8,-114.51,-1.36,-2.35,0.21,1
264714,-0.99,7.57,-1.89,30.9,-26.35,-102.24,-2.16,-0.59,-0.23,1
264960,0.98,12.01,-1.48,34.01,-21.65,-81.1,-1.22,-0.97,-0.2,1
265207,2.38,10.5,-6.48,30.97,-26.31,-105.14,2.82,0.01,1.38,1
265453,5.15,15.17,8.35,29.71,-24.44,-108.04,4.52,2.58,1.63,1
265709,-1.78,10.03,-2.84,29.25,-25.99,-102.27,-1.74,0.56,-0.5,1
265957,-1.05,10.87,-1.38,33.21,-21.91,-81.38,-1.39,-0.31,-0.13,1
266203,2.33,15.15,-8.07,32.59,-25.87,-101.64,3.46,1.62,1.37,1
266450,-2.38,17.52,0.34,31.94,-23.24,-104.08,-0.83,1.35,0.01,1
266698,-2.9,9.13,-4.02,30.61,-24.61,-105.06,-1.95,-0.69,0.41,1
266944,-0.27,8.65,-5.3,32.93,-22.55,-83.59,-1.52,0.1,-0.16,1
267192,-1.25,12.12,-2.96,39.08,-24.04,-93.15,1.64,-3.87,0.09,1
267446,3.53,0.79,-6.33,29.42,-22.76,-110.92,-1.01,1.73,-0.6,1
267694,4.06,9.5,-11.45,30.58,-24.66,-109.69,-1.46,-1.16,-0.53,1
267941,-2.77,9.56,-5.01,32.2,-24.22,-91.36,-2.53,-0.0,-0.33,1
268191,1.85,8.59,17.16,36.06,-23.41,-82.67,5.0,-0.43,-0.73,1
268439,0.02,2.69,-6.87,29.67,-23.28,-114.18,1.93,1.13,0.14,1
268687,-4.9,7.47,-10.08,29.82,-22.41,-112.98,-2.21,0.36,0.42,1
268935,1.35,9.32,-2.07,34.57,-24.31,-98.29,-2.54,-0.81,-0.1,1
269191,-0.41,13.49,0.4,39.94,-20.93,-81.94,0.04,-0.85,-0.24,1
269436,1.0,7.17,-6.56,38.16,-25.48,-108.78,1.89,-0.06,0.8,1
269684,0.24,12.23,10.75,30.44,-23.81,-107.26,0.52,-1.53,-1.57,1
269932,0.6,7.64,-0.42,28.25,-22.8,-95.7,-1.92,-0.64,-0.58,1
270178,1.36,12.1,-0.09,30.81,-18.75,-82.64,-1.11,-0.82,-0.01,1
270426,4.33,10.47,-4.25,26.92,-23.53,-107.85,3.21,0.13,1.45,1
270673,-2.02,19.6,-1.02,24.47,-22.24,-108.68,1.85,2.35,1.34,1
270927,-4.68,9.19,-3.21,27.51,-23.17,-104.69,-1.62,-0.17,-0.34,1
271175,-2.02,9.43,-1.53,30.3,-22.79,-86.31,-1.87,0.31,-0.23,1
271421,-1.85,12.79,-7.9,31.35,-25.11,-101.29,2.73,0.96,1.97,1
271669,-1.01,5.02,-5.03,28.76,-21.21,-109.75,-2.4,1.36,0.23,1
271917,-3.82,8.9,-4.09,29.48,-23.57,-109.31,-1.74,-0.63,0.11,1
272162,0.17,9.48,-3.75,33.24,-23.19,-89.9,-1.8,0.12,-0.54,1
272410,-6.47,13.36,-9.32,38.8,-22.17,-97.75,0.92,-1.89,1.06,1
272666,8.91,-0.69,-7.78,32.34,-21.79,-100.73,-3.09,2.51,-1.24,1
272914,-3.1,3.19,-6.38,33.6,-22.65,-95.7,-2.39,0.02,0.07,1
273160,1.65,8.89,-5.11,36.79,-15.3,-80.4,-1.93,0.0,-0.73,1
273408,-0.2,19.6,1.57,42.78,-14.44,-78.78,3.56,0.05,-0.68,1
273653,1.29,2.9,-9.26,28.22,-23.18,-86.93,0.53,3.37,-0.3,1
273901,2.33,3.42,9.11,24.0,-23.43,-82.53,5.0,5.0,0.26,1
274147,-0.33,8.69,-4.12,23.68,-11.5,-65.19,-2.54,1.14,-0.37,1
274395,2.0,15.11,7.97,21.22,-3.79,-58.1,5.0,0.63,-0.19,1
274649,-2.74,7.05,-7.68,10.48,-25.33,-77.27,1.94,2.81,0.56,1
274896,0.19,9.23,5.36,-0.72,-23.79,-83.4,-1.07,0.11,-0.65,1
275142,2.0,7.29,-1.29,1.94,-20.18,-71.37,-2.01,-0.13,-0.53,1
275390,2.15,12.11,-0.84,5.13,-3.2,-56.42,-1.05,0.21,-0.52,1
275638,3.07,11.09,-6.06,0.96,-22.32,-73.21,3.17,1.78,0.91,1
275884,5.07,19.6,2.01,-7.82,-24.09,-87.56,4.04,2.41,0.25,1
276131,-2.88,11.45,-5.88,-9.08,-22.01,-81.13,-2.07,-0.44,-0.53,1
276387,-1.55,9.79,-1.5,-6.64,-9.51,-64.06,-1.22,0.06,-0.25,1
276633,-1.34,14.96,-8.91,-2.21,-20.27,-74.26,3.02,2.19,1.71,1
276881,2.82,3.34,-3.85,-11.43,-22.16,-92.69,-1.93,0.51,-0.48,1
277129,9.12,10.84,-0.82,-12.91,-21.67,-94.91,-1.23,-0.33,0.26,1
277374,0.88,9.56,-3.34,-9.08,-16.16,-74.47,-2.49,0.19,-0.8,1
277622,-2.14,16.51,0.24,-1.94,-23.28,-77.62,2.64,-1.48,-0.32,1
277870,4.71,3.15,-6.09,-13.55,-20.83,-109.69,0.92,2.4,-0.07,1
278124,13.71,5.73,-10.33,-7.38,-21.72,-115.96,-2.77,0.32,-0.11,1
278372,0.91,9.27,-1.98,-6.62,-26.45,-94.88,-2.28,0.34,-0.4,1
278618,-0.61,19.6,3.9,0.37,-28.94,-89.61,4.95,0.7,-0.22,1
278865,0.18,4.23,-8.76,-2.19,-18.97,-121.28,2.25,3.12,0.35,1
279111,0.73,8.74,2.55,2.48,-17.07,-124.61,-0.81,-3.8,0.29,1
279359,1.52,8.3,-2.98,-0.19,-22.65,-114.5,-2.38,-0.56,-0.15,1
279607,-1.08,11.23,1.88,-2.4,-25.74,-92.93,-0.62,-0.87,0.39,1
279853,4.96,6.47,-5.86,-16.41,-17.85,-108.58,2.17,-1.61,1.26,1
280109,2.76,18.17,10.29,-21.6,-14.15,-110.27,-0.94,-1.43,-2.37,1
280356,0.74,8.03,-2.5,-23.27,-17.89,-99.47,-2.31,-0.59,-0.49,1
280604,0.09,11.69,-0.95,-20.37,-12.25,-72.8,-1.24,-0.98,0.18,1
280850,5.16,7.94,-5.03,-15.49,-21.4,-82.55,2.66,-0.87,1.03,1
281098,5.9,5.91,15.18,-21.13,-19.09,-94.05,3.21,0.94,1.3,1
281344,-2.69,9.51,-2.68,-20.11,-18.55,-86.39,-1.91,0.8,-0.76,1
281591,0.66,9.63,-2.31,-13.87,-8.61,-65.81,-1.27,-0.27,0.03,1
281845,6.4,13.66,-5.44,-8.84,-20.72,-75.77,3.69,1.13,0.85,1
282093,-4.0,14.38,-0.18,-15.33,-21.43,-90.38,0.7,0.65,0.62,1
282341,-4.22,10.23,-4.42,-15.46,-22.89,-91.76,-1.33,0.0,0.36,1
282587,-1.24,10.52,-3.56,-11.15,-13.45,-67.07,-1.33,-0.07,-0.03,1
282834,4.22,17.07,-13.19,0.07,-21.05,-69.96,2.1,-2.07,2.18,1
283084,1.63,2.89,-3.8,-11.39,-23.36,-85.44,-1.96,1.43,-0.57,1
283334,1.02,6.34,-4.25,-11.62,-23.33,-82.39,-1.93,-0.65,0.01,1
283590,0.55,8.36,-2.81,-6.27,-8.52,-60.89,-1.28,-0.7,-0.14,1
283838,-3.37,14.55,-12.35,5.69,-17.01,-62.89,0.59,-3.78,1.29,1
284084,3.24,-0.04,-6.95,-4.75,-25.39,-83.91,-0.55,1.68,-0.57,1
284332,-5.77,11.18,-18.47,-5.47,-27.21,-84.49,-2.76,-2.04,0.61,1
284579,-3.16,10.38,-3.48,-2.27,-12.23,-61.98,-2.81,-0.5,-0.19,1
284827,-0.08,18.32,3.79,9.32,-16.59,-62.13,3.16,-2.41,-0.68,1
285073,2.32,0.25,-8.09,-3.24,-26.16,-82.67,0.51,2.96,-0.55,1
285329,19.6,4.59,-0.9,-7.37,-27.49,-88.99,-1.34,0.01,-1.53,1
285575,1.54,7.57,-2.73,-3.64,-14.85,-64.85,-4.08,-1.13,-0.61,1
285822,-0.09,16.01,9.99,6.39,-10.03,-58.11,4.47,0.05,-1.06,1
286070,-0.36,1.44,-9.31,-4.36,-25.65,-81.72,1.47,2.3,0.18,1
286316,2.92,19.6,-12.13,-10.68,-24.12,-85.6,-0.84,1.57,-2.85,1
286564,1.52,9.0,-2.79,-7.45,-21.73,-75.26,-2.68,0.05,-0.72,1
286812,-3.21,19.6,0.94,-2.72,-17.13,-64.78,3.92,0.68,-0.71,1
287057,0.17,3.63,-12.0,-14.51,-23.68,-101.67,2.23,4.15,0.19,1
287301,-12.77,-3.38,-17.46,-12.72,-22.17,-110.23,-5.0,-2.81,1.05,1
287549,1.72,10.28,-4.5,-7.4,-26.89,-98.55,-2.96,-0.03,-0.6,1
287797,-5.83,16.52,-1.12,-0.37,-28.75,-83.98,1.12,0.75,-0.57,1
288045,-0.36,7.03,-8.77,-4.57,-24.88,-115.3,2.07,2.06,0.69,1
288292,-10.35,3.39,1.49,-11.77,-19.0,-119.37,0.87,-0.93,1.53,1
288538,1.74,9.13,-2.37,-3.54,-26.54,-108.27,-2.06,0.78,-0.63,1
288786,-0.47,13.87,-0.3,-0.44,-29.95,-89.37,-0.68,-0.83,-0.06,1
289042,-0.14,5.63,-6.54,-7.67,-23.9,-113.9,2.0,0.01,1.02,1
289290,-1.05,8.09,2.51,2.69,-19.1,-125.59,0.01,-2.63,-0.08,1
289536,0.08,7.55,0.67,-0.57,-25.58,-114.44,-1.7,-1.1,-0.16,1
1660,-0.07,8.18,-5.59,-10.25,-6.84,-64.5,-0.03,-0.0,-0.06,2
1904,0.15,8.14,-5.69,-9.57,-7.13,-64.22,0.01,0.04,-0.04,2
2150,0.0,8.15,-5.68,-9.6,-7.09,-64.16,-0.0,-0.01,-0.01,2
2396,0.15,8.12,-5.64,-9.65,-6.91,-63.97,-0.0,0.0,-0.03,2
2643,-0.07,8.19,-5.59,-9.94,-6.8,-64.59,0.01,0.03,-0.05,2
2889,-0.11,8.31,-5.66,-10.03,-7.13,-64.62,0.02,0.05,-0.04,2
3135,0.59,8.79,-3.15,-13.93,-12.86,-72.86,-0.16,-0.09,0.05,2
3508,-0.39,8.6,-1.75,-12.74,-9.98,-68.06,-0.51,-1.0,0.02,2
3919,-2.15,13.74,-9.41,-5.88,-15.35,-68.68,0.68,0.27,1.46,2
4167,4.22,4.02,-4.52,-18.49,-15.77,-85.44,-1.43,0.62,-0.23,2
4413,0.28,4.73,-1.39,-19.96,-15.89,-89.89,-1.39,-0.74,-0.47,2
4661,-1.93,8.66,-6.25,-16.16,-14.0,-77.08,-1.68,-1.02,-0.46,2
4907,-1.98,9.53,-2.93,-6.47,-8.56,-63.18,-0.26,-0.95,-0.18,2
5152,-0.78,9.38,-4.92,-7.72,-16.14,-71.05,1.39,0.44,0.68,2
5400,-1.15,10.58,-0.83,-19.13,-14.24,-82.34,0.81,0.15,0.63,2
5654,-3.06,8.89,-3.47,-19.86,-13.75,-79.73,-1.61,-1.19,0.04,2
5900,-1.03,8.15,-4.14,-12.63,-7.98,-65.61,-1.34,-0.85,-0.69,2
6148,-3.25,11.39,1.63,-4.02,-13.01,-64.73,1.85,-1.61,0.47,2
6393,1.65,5.88,-4.95,-16.75,-15.81,-82.9,1.3,1.99,0.48,2
6639,0.74,6.29,3.51,-19.5,-15.23,-90.72,0.68,-1.18,-0.21,2
6887,0.8,9.36,-2.07,-16.19,-15.07,-80.12,-1.53,-1.28,-0.54,2
7133,-1.04,9.86,-1.86,-7.12,-10.22,-67.14,-0.82,-0.54,-0.61,2
7389,-0.09,12.97,-8.12,-3.86,-14.64,-71.38,1.77,1.79,1.39,2
7634,-1.39,7.69,-2.12,-19.79,-14.15,-89.68,-0.28,0.24,0.66,2
7880,0.04,9.54,-3.93,-24.12,-13.78,-90.79,-1.68,-0.26,0.08,2
8128,-1.9,8.51,-3.98,-17.41,-11.03,-70.05,-0.88,-0.28,-0.55,2
8374,-0.47,11.98,3.48,-10.25,-12.93,-65.76,1.27,0.06,-0.3,2
8620,1.9,7.39,-4.54,-19.69,-15.49,-78.57,1.76,1.69,0.63,2
8867,0.49,10.25,2.72,-25.12,-14.72,-91.25,0.24,0.08,-0.44,2
9113,-2.01,8.49,-2.66,-21.65,-14.67,-81.57,-1.37,-0.77,-0.38,2
9367,-0.5,10.16,-0.04,-12.19,-10.49,-66.16,-0.65,-0.61,-0.34,2
9613,-1.19,11.51,-4.87,-10.52,-15.7,-70.17,2.13,1.93,1.23,2
9861,-3.67,8.54,-2.5,-23.41,-13.65,-85.55,-0.22,1.41,0.52,2
10106,-3.13,12.25,-4.29,-23.87,-14.76,-93.91,-1.64,-0.34,0.35,2
10354,-2.31,9.06,-2.31,-17.35,-13.61,-74.98,-1.56,-0.71,-0.67,2
10600,-4.53,17.23,-5.16,-8.11,-12.1,-64.92,-0.7,-0.87,-0.3,2
10846,0.29,9.19,-4.34,-13.26,-16.69,-75.61,2.2,1.67,1.07,2
11102,3.56,9.77,3.33,-21.84,-16.38,-92.24,0.47,0.72,-0.49,2
11347,-3.62,9.84,-3.13,-22.55,-14.26,-83.7,-0.57,0.06,-0.64,2
11593,-0.46,9.29,-3.16,-11.5,-10.98,-66.87,-1.52,-0.94,-0.7,2
11841,0.89,10.67,-0.87,1.99,-9.72,-58.68,0.94,-1.93,0.8,2
12087,2.6,8.35,-4.31,-5.98,-16.94,-69.07,1.4,1.67,0.76,2
12333,-0.06,6.7,1.11,-14.63,-17.79,-79.54,0.74,0.03,-0.28,2
12580,0.12,9.66,-1.7,-11.88,-16.92,-72.74,-1.03,-0.82,-0.66,2
12832,-4.06,9.38,-2.21,-0.26,-10.8,-60.41,-1.19,-0.32,-0.62,2
13080,2.8,10.23,-3.23,5.63,-14.03,-61.24,1.38,0.54,0.44,2
13326,-1.11,6.27,-2.19,-6.36,-19.31,-72.64,0.06,1.26,0.24,2
13572,-0.44,6.11,-8.28,-8.4,-21.21,-76.64,-1.16,-0.73,-0.94,2
13819,-2.2,8.82,-3.93,-2.78,-12.45,-63.64,-1.96,-0.55,-0.68,2
14065,-0.18,8.79,-1.51,1.67,-9.37,-59.51,0.18,0.1,-0.17,2
14311,1.38,9.94,-3.3,1.74,-17.77,-70.9,1.84,0.91,0.52,2
14559,-5.81,10.56,2.0,-6.42,-21.79,-79.55,1.7,1.97,0.21,2
14813,-1.88,9.28,-2.21,-4.87,-22.46,-77.49,-1.07,-0.74,-0.47,2
15058,-1.02,9.08,-2.57,4.28,-13.12,-63.87,-0.97,-0.35,-0.8,2
15306,-5.82,18.15,0.98,13.21,-10.13,-59.53,0.46,0.05,-0.29,2
15552,1.2,8.82,-6.66,0.12,-18.01,-69.15,1.29,2.06,0.84,2
15798,-3.81,7.9,3.92,-13.29,-17.52,-77.38,0.72,0.61,0.19,2
16046,-4.62,9.27,-4.11,-14.22,-18.85,-78.68,-0.38,-0.09,-0.1,2
16291,-0.67,9.55,-2.48,-7.56,-15.87,-68.68,-1.13,0.08,-0.89,2
16545,-1.7,11.43,-2.26,-0.23,-18.72,-66.84,0.79,-1.25,0.23,2
16791,1.46,8.33,-3.25,-12.19,-20.07,-77.43,0.73,1.69,0.46,2
17039,-1.35,10.15,1.67,-22.76,-17.64,-91.29,0.38,1.79,-0.14,2
17285,-3.03,9.34,-3.34,-21.91,-18.59,-91.6,-0.56,0.3,-0.43,2
17532,-0.37,9.19,-2.1,-15.62,-20.08,-81.31,-0.73,0.27,-0.8,2
17778,-2.31,9.04,-2.46,-7.51,-23.56,-80.18,0.5,-0.35,0.05,2
18024,1.35,8.73,-3.9,-16.79,-21.03,-93.41,0.69,1.88,0.51,2
18270,0.6,8.91,2.25,-18.9,-17.49,-111.27,0.59,1.89,-0.04,2
18530,-3.32,8.85,-2.73,-17.25,-19.95,-104.81,-0.76,-0.05,-0.48,2
18778,-0.51,10.01,-0.63,-12.0,-23.43,-97.37,-0.77,0.35,-0.84,2
19023,-3.53,11.71,-9.21,-9.0,-25.86,-97.5,0.82,1.33,1.1,2
19271,2.0,6.2,-2.98,-9.92,-19.12,-118.34,-0.8,-0.01,0.42,2
19517,3.16,5.1,-3.09,-4.0,-18.05,-124.31,-2.15,-2.88,-0.41,2
19765,-1.07,9.44,-2.24,-6.01,-23.3,-113.71,-0.78,-0.08,-0.64,2
20011,-2.03,10.33,1.51,3.64,-28.71,-102.66,-0.79,0.24,-1.02,2
