Time(ms),Acceleration(x),Acceleration(y),Acceleration(z),Magnetometer(x),Magnetometer(y),Magnetometer(z),Gyroscope(x),Gyroscope(y),Gyroscope(z),Class
18583,-0.21,12.02,-1.68,-17.23,-19.45,-83.67,-0.52,-1.4,0.4,1
18831,5.25,7.09,-4.32,-20.71,-20.26,-88.73,2.43,-1.59,0.96,1
19077,8.71,4.8,19.6,-21.98,-18.44,-101.45,-0.57,1.32,-1.86,1
19324,1.01,8.23,-0.76,-20.68,-18.88,-87.47,-2.13,-0.03,-0.52,1
19570,2.4,12.55,0.45,-13.56,-9.62,-64.54,-1.18,-0.73,-0.16,1
19818,1.54,7.66,-6.37,-11.9,-21.97,-81.12,2.26,-0.21,1.06,1
20064,6.15,11.16,15.88,-16.98,-21.91,-99.33,0.33,-1.77,-0.86,1
20318,0.21,8.01,-0.89,-17.57,-19.48,-87.78,-2.04,-0.21,-0.61,1
20566,2.7,12.84,0.04,-12.41,-10.17,-65.13,-1.13,-0.58,-0.06,1
20811,4.89,9.36,-4.88,-11.87,-21.69,-80.94,2.99,-0.16,1.1,1
21059,2.2,15.51,8.97,-17.95,-20.21,-93.98,3.48,2.51,0.64,1
21305,-1.16,9.92,-3.84,-17.47,-19.85,-85.95,-1.66,0.73,-0.5,1
21553,0.27,12.23,-1.27,-11.25,-10.65,-65.54,-2.0,-0.74,0.38,1
21798,1.99,14.05,-8.53,-5.79,-19.48,-70.86,3.77,1.06,1.66,1
22054,-8.68,19.6,5.0,-12.74,-21.32,-82.71,2.82,-0.14,1.66,1
22300,-4.74,11.11,-5.97,-11.47,-20.62,-77.27,-1.48,-0.85,0.16,1
22548,-1.82,10.19,-2.94,-5.2,-6.62,-58.97,-1.29,-0.55,0.07,1
22794,0.01,14.54,-8.5,7.19,-18.25,-65.39,3.26,1.15,1.74,1
23042,0.4,7.26,-3.76,-2.95,-23.43,-77.4,-1.03,0.13,0.18,1
23287,-3.75,10.25,-5.63,-2.79,-23.68,-76.64,-1.32,0.02,0.18,1
23533,-0.68,9.33,-5.24,3.76,-8.7,-58.14,-1.25,-0.39,-0.3,1
23787,-5.57,13.15,-11.22,15.3,-16.14,-63.48,0.57,-3.41,0.96,1
24035,4.4,0.56,-7.7,-0.7,-24.32,-79.61,-1.47,2.13,-0.67,1
24281,-1.98,4.04,-9.21,-2.57,-26.02,-81.01,-1.59,-0.59,-0.14,1
24528,-0.49,9.4,-3.29,2.38,-13.24,-61.6,-2.69,-0.01,-0.86,1
24774,-2.76,17.52,1.44,8.07,-18.85,-64.73,2.97,-0.77,-0.34,1
25022,3.3,1.02,-9.08,-11.27,-24.45,-90.13,0.06,3.14,-0.24,1
